Type,Title,Language,Subjects,LoCC
Text,0.340385715693276,en,0.32099845916156655,E201; JK
Text,0.31293625317637813,en,0.34481910995002696,JK; KF
Text,0.3049441176169647,en,0.3336695672506423,E838
Text,0.24766054829196732,en,0.28048267930792564,E456
Text,0.3948372294109935,en,0.34024646661329183,JK; KF
Text,0.37677537536878597,en,0.31405203382530333,E201
Text,0.3698696123078106,en,0.26899895605454427,F001
Text,0.2977930828470596,en,0.3363792215671056,E456
Text,0.2999896605547463,en,0.3363792215671056,E456
Text,0.3322761557828977,en,0.703513942641505,BS
Text,0.3274237980293688,en,0.3287413891053477,PR; PZ
Text,0.32080661381668313,en,0.3287413891053477,PR; PZ
Text,0.2685859403108929,en,0.38755857734161514,PR
Text,0.31354158179472735,en,0.3293278569953377,G
Text,0.2772201127704814,en,0.33943664912822685,PS
Text,0.4753471647376825,en,0.32972477616333423,PR; PZ
Text,0.26269417518448823,en,0.36638165396364447,BX
Text,0.36644186093927117,en,0.39627449924420705,JK; KF
Text,0.31917567902422983,en,0.3123225868415883,PS
Text,0.4317408575181001,en,0.33014532862068924,PR
Text,0.22070987901917127,en,0.33376691436643685,PA; PZ
Text,0.39810870241574803,en,0.3797042323633935,PE
Text,0.285261722409578,en,0.3064062492489059,E300
Text,0.34408813258526233,en,0.358589145586385,PS
Text,0.31358633089889393,en,0.3293278569953377,G
Text,0.4317408575181001,en,0.33014532862068924,PR
Text,0.30923325288573705,en,0.33136226901226756,PR
Text,0.404466525521183,en,0.33376691436643685,PA; PZ
Text,0.344102638207721,en,0.37464744737561384,HA
Text,0.3029090826173786,en,0.703513942641505,BS
Text,0.3078993918894687,en,0.32301289036151004,PA
Text,0.0,en,0.3839541805584545,PS
Text,0.3680035944519893,en,0.33198710163825795,PS
Text,0.32357404794519945,en,0.41734843585044057,TK
Text,0.37562656472256545,en,0.390639039583605,PR
Text,0.36219513524419056,en,0.3489176616235572,PR
Text,0.3018754353401802,en,0.37464744737561384,HA
Text,0.23900294976569658,en,0.3620131036353712,TK
Text,0.3013871323280671,en,0.4801451179512636,TK
Text,0.2716995837365232,en,0.6909000157452125,TK
Text,0.320225827491564,en,0.32623113134911785,PS
Text,0.27347884584856313,en,0.34881995470725624,PR
Text,0.27347884584856313,en,0.34881995470725624,PR
Text,0.3288282874001071,en,0.3479422309489733,PS
Text,0.350239556899409,en,0.3313866830844307,PZ
Text,0.3025014009426994,en,0.31771147022906027,PR
Text,0.37818545878284116,en,0.33307218313385245,PZ
Text,0.3114731387419476,en,0.3293278569953377,G
Text,0.2457885790700518,en,0.39144482153495086,TK
Dataset,0.5719573156218798,en,0.4338244567429212,QA
Text,0.3400326483831017,en,0.3253746803089295,PZ
Dataset,0.326192189596406,en,0.4104182310758657,QA
Text,0.25130303879856614,en,0.34324291507788857,Z
Text,0.3179301396651447,en,0.34725646068992333,PZ
Text,0.31731716378506725,en,0.3116556278471144,PZ
