BookId	Author	WikipediaLink	WikidataId	DateOfBirth	DateOfDeath	CountryOfCitizenship	Occupation	LanguagesSpokenWrittenOrSigned	Genre	FieldOfWork	MemberOf	EducatedAt	InfluencedBy
15886	Dunbar, Paul Laurence	http://en.wikipedia.org/wiki/Paul_Laurence_Dunbar	Q974678	1872-06-27T00:00:00Z	1906-02-09T00:00:00Z	United States of America	playwright	African American Vernacular English	poetry	None	None	Howard University	None
45486	Schippers, W.	http://nl.wikipedia.org/wiki/Willem_Schippers	Q3158760	1867-04-04T00:00:00Z	1954-06-11T00:00:00Z	Kingdom of the Netherlands	writer	Dutch	None	None	None	None	None
13335	Glover, T. R. (Terrot Reaveley)	https://en.wikipedia.org/wiki/Terrot_R._Glover	Q2405525	1869-07-23T00:00:00Z	1943-05-26T00:00:00Z	United Kingdom	classical philologist	English	None	classical philology	None	None	None
4666	St. John de Crèvecoeur, J. Hector	https://en.wikipedia.org/wiki/J._Hector_St._John_de_Cr%C3%A8vec%C5%93ur	Q1493812	1735-01-31T00:00:00Z	1813-11-12T00:00:00Z	France	diplomat	French	None	None	None	University of Caen Normandy	None
20264	Haweis, H. R. (Hugh Reginald)	http://en.wikipedia.org/wiki/Hugh_Reginald_Haweis	Q5932457	1838-04-03T00:00:00Z	1901-01-29T00:00:00Z	United Kingdom of Great Britain and Ireland	Anglican priest	None	None	None	None	Trinity College	None
40627	Szemere, György	https://hu.wikipedia.org/wiki/Szemere_Gy%C3%B6rgy_(%C3%ADr%C3%B3)	Q1089877	1863-10-30T00:00:00Z	1930-09-06T00:00:00Z	Hungary	writer	None	None	None	None	None	None
26321	Lodge, Oliver, Sir	http://en.wikipedia.org/wiki/Oliver_Lodge	Q379816	1851-06-12T00:00:00Z	1940-08-22T00:00:00Z	United Kingdom of Great Britain and Ireland	physicist	English	None	None	Maxwellians	University of London	None
13970	Bird, Robert Montgomery	https://en.wikipedia.org/wiki/Robert_Montgomery_Bird	Q505715	1806-02-05T00:00:00Z	1854-01-23T00:00:00Z	United States of America	author	English	None	None	None	University of Pennsylvania	None
17502	Maginnis, Charles Donagh	http://en.wikipedia.org/wiki/Charles_Donagh_Maginnis	Q5076912	1867-01-07T00:00:00Z	1955-02-15T00:00:00Z	United States of America	architect	None	None	None	American Academy of Arts and Letters	None	None
1838	Lawson, John	https://en.wikipedia.org/wiki/John_Lawson_%28explorer%29	Q359347	1674-12-27T00:00:00Z	1711-01-01T00:00:00Z	Great Britain	explorer	English	None	None	None	None	None
3416	Bryce, James Bryce, Viscount	https://en.wikipedia.org/wiki/James_Bryce,_1st_Viscount_Bryce	Q336497	1838-05-10T00:00:00Z	1922-01-22T00:00:00Z	United Kingdom of Great Britain and Ireland	university teacher	English	None	jurisprudence	Royal Society	University of Glasgow	None
5628	Drinkwater, John	https://en.wikipedia.org/wiki/John_Drinkwater_(playwright)	Q1699846	1882-06-01T00:00:00Z	1937-03-25T00:00:00Z	United Kingdom	playwright	English	None	None	None	City of Oxford High School for Boys	None
5749	Holberg, Ludvig	https://en.wikipedia.org/wiki/Ludvig_Holberg	Q216692	1684-12-03T00:00:00Z	1754-01-28T00:00:00Z	Norway	philosopher	Danish	play	None	None	University of Copenhagen	[['Q687', 'Molière'], ['Q47160', 'Plautus']]
14555	Grimké, Archibald Henry	https://en.wikipedia.org/wiki/Archibald_Grimk%C3%A9	Q4786341	1849-08-17T00:00:00Z	1930-02-25T00:00:00Z	United States of America	diplomat	None	None	None	None	Harvard Law School	None
64615	Rowsell, Mary C. (Mary Catherine)	https://en.wikipedia.org/wiki/Mary_Catherine_Rowsell	Q64685900	1839-01-01T00:00:00Z	1921-01-01T00:00:00Z	None	editor	None	None	None	None	None	None
63511	Councill, W. H. (William Hooper)	https://en.wikipedia.org/wiki/William_Hooper_Councill	Q8012486	1848-07-12T00:00:00Z	1909-04-17T00:00:00Z	United States of America	educator	None	None	None	None	None	None
59765	Sokol, Josef	https://cs.wikipedia.org/wiki/Josef_Sokol	Q13434487	1831-07-04T00:00:00Z	1912-04-04T00:00:00Z	None	writer	None	None	None	None	None	None
17661	Zaccone, Pierre	https://fr.wikipedia.org/wiki/Pierre_Zaccone	Q2002283	1817-04-02T00:00:00Z	1895-04-12T00:00:00Z	France	playwright	French	None	None	None	None	None
