Author,BookID,WikipediaLink
"Jefferson, Thomas",1,https://en.wikipedia.org/wiki/Thomas_Jefferson
United States,2,https://en.wikipedia.org/wiki/United_States
"Kennedy, John F. (John Fitzgerald)",3,https://en.wikipedia.org/wiki/John_F._Kennedy
"Lincoln, Abraham",4,https://en.wikipedia.org/wiki/Abraham_Lincoln
United States,5,https://en.wikipedia.org/wiki/United_States
"Henry, Patrick",6,https://en.wikipedia.org/wiki/Patrick_Henry
"Lincoln, Abraham",8,https://en.wikipedia.org/wiki/Abraham_Lincoln
"Lincoln, Abraham",9,https://en.wikipedia.org/wiki/Abraham_Lincoln
"Carroll, Lewis",11,https://en.wikipedia.org/wiki/Lewis_Carroll
"Carroll, Lewis",12,https://en.wikipedia.org/wiki/Lewis_Carroll
"Carroll, Lewis",13,https://en.wikipedia.org/wiki/Lewis_Carroll
United States. Central Intelligence Agency,14,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
"Melville, Herman",15,https://en.wikipedia.org/wiki/Herman_Melville
"Barrie, J. M. (James Matthew)",16,https://en.wikipedia.org/wiki/J._M._Barrie
Church of Jesus Christ of Latter-day Saints,17,https://en.wikipedia.org/wiki/The_Church_of_Jesus_Christ_of_Latter-day_Saints
"Madison, James",18,https://en.wikipedia.org/wiki/James_Madison
"Longfellow, Henry Wadsworth",19,https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow
"Milton, John",20,https://en.wikipedia.org/wiki/John_Milton
Aesop,21,https://en.wikipedia.org/wiki/Aesop
"Roget, Peter Mark",22,https://en.wikipedia.org/wiki/Peter_Roget
"Douglass, Frederick",23,http://en.wikipedia.org/wiki/Frederick_Douglass
"Cather, Willa",24,https://en.wikipedia.org/wiki/Willa_Cather
United States. Central Intelligence Agency,25,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
"Milton, John",26,https://en.wikipedia.org/wiki/John_Milton
"Hardy, Thomas",27,https://en.wikipedia.org/wiki/Thomas_Hardy
Aesop,28,https://en.wikipedia.org/wiki/Aesop
United States. Bureau of the Census,29,http://en.wikipedia.org/wiki/United_States_Census_Bureau
Sophocles,31,https://hu.wikipedia.org/wiki/Szophokl%C3%A9sz
"Gilman, Charlotte Perkins",32,https://en.wikipedia.org/wiki/Charlotte_Perkins_Gilman
"Hawthorne, Nathaniel",33,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne
"Kehoe, Brendan P.",34,https://en.wikipedia.org/wiki/Brendan_Kehoe
"Wells, H. G. (Herbert George)",35,https://en.wikipedia.org/wiki/H._G._Wells
"Wells, H. G. (Herbert George)",36,https://en.wikipedia.org/wiki/H._G._Wells
United States. Bureau of the Census,37,http://en.wikipedia.org/wiki/United_States_Census_Bureau
,38,
"Krol, Ed",39,https://en.wikipedia.org/wiki/Ed_Krol
,40,
"Irving, Washington",41,https://en.wikipedia.org/wiki/Washington_Irving
"Stevenson, Robert Louis",42,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
