Author,BookID,WikipediaLink
"Jefferson, Thomas",1,https://en.wikipedia.org/wiki/Thomas_Jefferson
United States,2,https://en.wikipedia.org/wiki/United_States
"Kennedy, John F. (John Fitzgerald)",3,https://en.wikipedia.org/wiki/John_F._Kennedy
"Lincoln, Abraham",4,https://en.wikipedia.org/wiki/Abraham_Lincoln
"Henry, Patrick",6,https://en.wikipedia.org/wiki/Patrick_Henry
"Carroll, Lewis",11,https://en.wikipedia.org/wiki/Lewis_Carroll
United States. Central Intelligence Agency,14,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
"Melville, Herman",15,https://en.wikipedia.org/wiki/Herman_Melville
"Barrie, J. M. (James Matthew)",16,https://en.wikipedia.org/wiki/J._M._Barrie
Church of Jesus Christ of Latter-day Saints,17,https://en.wikipedia.org/wiki/The_Church_of_Jesus_Christ_of_Latter-day_Saints
"Madison, James",18,https://en.wikipedia.org/wiki/James_Madison
"Longfellow, Henry Wadsworth",19,https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow
"Milton, John",20,https://en.wikipedia.org/wiki/John_Milton
Aesop,21,https://en.wikipedia.org/wiki/Aesop
"Roget, Peter Mark",22,https://en.wikipedia.org/wiki/Peter_Roget
"Douglass, Frederick",23,http://en.wikipedia.org/wiki/Frederick_Douglass
"Cather, Willa",24,https://en.wikipedia.org/wiki/Willa_Cather
"Hardy, Thomas",27,https://en.wikipedia.org/wiki/Thomas_Hardy
United States. Bureau of the Census,29,http://en.wikipedia.org/wiki/United_States_Census_Bureau
Sophocles,31,https://hu.wikipedia.org/wiki/Szophokl%C3%A9sz
"Gilman, Charlotte Perkins",32,https://en.wikipedia.org/wiki/Charlotte_Perkins_Gilman
"Hawthorne, Nathaniel",33,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne
"Kehoe, Brendan P.",34,https://en.wikipedia.org/wiki/Brendan_Kehoe
"Wells, H. G. (Herbert George)",35,https://en.wikipedia.org/wiki/H._G._Wells
"Krol, Ed",39,https://en.wikipedia.org/wiki/Ed_Krol
"Irving, Washington",41,https://en.wikipedia.org/wiki/Washington_Irving
"Stevenson, Robert Louis",42,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Montgomery, L. M. (Lucy Maud)",45,http://en.wikipedia.org/wiki/Lucy_Maud_Montgomery
"Dickens, Charles",46,https://en.wikipedia.org/wiki/Charles_Dickens
"Polly, Jean Armour",49,https://en.wikipedia.org/wiki/Jean_Armour_Polly
Library of Congress,53,https://en.wikipedia.org/wiki/Library_of_Congress
"Baum, L. Frank (Lyman Frank)",54,https://en.wikipedia.org/wiki/L._Frank_Baum
"Descartes, René",59,https://fr.wikipedia.org/wiki/Ren%C3%A9_Descartes
"Orczy, Emmuska Orczy, Baroness",60,https://en.wikipedia.org/wiki/Baroness_Orczy
"Marx, Karl",61,https://de.wikipedia.org/wiki/Karl_Marx
"Burroughs, Edgar Rice",62,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
