Author,BookID,WikipediaLink
"Pearson, Edmund Lester",4252,https://en.wikipedia.org/wiki/Edmund_Pearson
"Aubrey, John",4254,https://en.wikipedia.org/wiki/John_Aubrey
"Mabie, Hamilton Wright",4265,https://en.wikipedia.org/wiki/Hamilton_Wright_Mabie
"Hubbard, Mina",4266,https://en.wikipedia.org/wiki/Mina_Benson_Hubbard
"Keble, John",4272,https://en.wikipedia.org/wiki/John_Keble
"Lindlahr, Henry",4273,https://en.wikipedia.org/wiki/Henry_Lindlahr
"Besant, Annie",4278,https://en.wikipedia.org/wiki/Annie_Besant
"Kant, Immanuel",4280,https://en.wikipedia.org/wiki/Immanuel_Kant
"Habberton, John",4281,https://en.wikipedia.org/wiki/John_Habberton
"Ray, T. B. (T. Bronson)",4283,https://en.wikipedia.org/wiki/Bronson_Ray
"Mackay, Isabel Ecclestone",4284,https://en.wikipedia.org/wiki/Isabel_Ecclestone_Mackay
"Haddock, Frank C. (Frank Channing)",4286,https://en.wikipedia.org/wiki/Frank_Channing_Haddock
"Otis, James",4293,https://en.wikipedia.org/wiki/James_Otis_Kaler
"Tilden, J. H. (John Henry)",4314,https://en.wikipedia.org/wiki/John_Henry_Tilden
"Dellenbaugh, Frederick Samuel",4316,https://en.wikipedia.org/wiki/Frederick_Samuel_Dellenbaugh
"Hume, David",4320,https://en.wikipedia.org/wiki/David_Hume
"Asquith, Margot",4321,https://en.wikipedia.org/wiki/Margot_Asquith
"Duhamel, Georges",4325,https://fr.wikipedia.org/wiki/Georges_Duhamel
"Muir, Ramsay",4326,https://en.wikipedia.org/wiki/Ramsay_Muir
"Sturt, Charles",4328,https://en.wikipedia.org/wiki/Charles_Sturt
"Ridge, Lola",4331,https://en.wikipedia.org/wiki/Lola_Ridge
"Call, Annie Payson",4337,https://en.wikipedia.org/wiki/Annie_Payson_Call
"Allen, Grant",4340,https://en.wikipedia.org/wiki/Grant_Allen
"Kropotkin, Petr Alekseevich, kniaz",4341,https://en.wikipedia.org/wiki/Peter_Kropotkin
"Pushkin, Aleksandr Sergeevich",4344,https://en.wikipedia.org/wiki/Alexander_Pushkin
"Newte, Horace W. C. (Horace Wykeham Can)",4345,https://en.wikipedia.org/wiki/Horace_Newte
"Bagehot, Walter",4350,https://en.wikipedia.org/wiki/Walter_Bagehot
"Bergson, Henri",4352,https://en.wikipedia.org/wiki/Henri_Bergson
"Chester, George Randolph",4353,https://en.wikipedia.org/wiki/George_Randolph_Chester
"Lichtenstein, Alfred",4369,https://de.wikipedia.org/wiki/Alfred_Lichtenstein
"Guibert, Abbot of Nogent-sous-Coucy",4370,https://en.wikipedia.org/wiki/Guibert_of_Nogent
