Author,BookID,WikipediaLink
"Haddon, Alfred C. (Alfred Cort)",46079,http://en.wikipedia.org/wiki/Alfred_Cort_Haddon
"Lane, Rose Wilder",46121,https://en.wikipedia.org/wiki/Rose_Wilder_Lane
"Molnár, Ferenc",46185,http://en.wikipedia.org/wiki/Ferenc_Molnár
"Pückler-Muskau, Hermann, Fürst von",46223,"https://en.wikipedia.org/wiki/Hermann,_F%C3%BCrst_von_P%C3%BCckler-Muskau"
"Flake, Otto",46255,https://de.wikipedia.org/wiki/Otto_Flake
"Claudel, Paul",46268,https://fr.wikipedia.org/wiki/Paul_Claudel
"Headlam, Cecil",46274,https://en.wikipedia.org/wiki/Cecil_Headlam
"Bateman, Jas. (James)",46281,http://en.wikipedia.org/wiki/James_Bateman
"Monkhouse, Allan",46298,https://en.wikipedia.org/wiki/Allan_Monkhouse
"Lynch, Hannah",46301,https://en.wikipedia.org/wiki/Hannah_Lynch
"Daniel, George",46331,http://en.wikipedia.org/wiki/George_Daniel_%28writer%29
"Singmaster, Elsie",46405,https://en.wikipedia.org/wiki/Elsie_Singmaster
"Hill, Rowland, Sir",46498,https://en.wikipedia.org/wiki/Rowland_Hill
"Sillanpää, Frans Eemil",46518,https://en.wikipedia.org/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4
"Flesch-Brunningen, Hans",46551,https://de.wikipedia.org/wiki/Hans_Flesch-Brunningen
"Speck, Frank G. (Frank Gouldsmith)",46578,https://en.wikipedia.org/wiki/Frank_Speck
"Godwin, Francis",46591,https://en.wikipedia.org/wiki/Francis_Godwin
"Morgan, John (John Hamilton)",46617,http://en.wikipedia.org/wiki/John_Hamilton_Morgan
"Champagnac, J.-B.-J. (Jean-Baptiste-Joseph)",46683,http://fr.wikipedia.org/wiki/Jean-Baptiste-Joseph_Champagnac
"Gilbert de Voisins, Auguste",46687,https://fr.wikipedia.org/wiki/Auguste_Gilbert_de_Voisins
"Bowring, John",46695,https://en.wikipedia.org/wiki/John_Bowring
"Bourgelat, Claude",46696,http://en.wikipedia.org/wiki/Claude_Bourgelat
"Hannay, David",46754,https://en.wikipedia.org/wiki/David_Hannay_(historian)
"Baudissin, Wolf Ernst Hugo Emil, Graf von",46755,http://de.wikipedia.org/wiki/Wolf_Ernst_Hugo_Emil_von_Baudissin
"Genevoix, Maurice",46770,https://en.wikipedia.org/wiki/Maurice_Genevoix
"Blass, Ernst",46805,http://de.wikipedia.org/wiki/Ernst_Blass
"Barnitz, David Park",46827,https://en.wikipedia.org/wiki/David_Park_Barnitz
"Herrmann-Neisse, Max",46831,http://de.wikipedia.org/wiki/Max_Herrmann-Nei%C3%9Fe
